record_id,source_id,title,year,cluster,probability,is_noise,theme
target-001,target-001,CRISPR dependency maps reveal kinase vulnerabilities,2024,0,1.000,false,"crispr, dependency, kinase"
target-002,target-002,Functional genomics prioritization of synthetic lethal targets,2023,3,0.810,false,"evidence, nomination, human"
target-003,target-003,Pan-cancer loss of function screens for target discovery,2022,2,0.767,false,"target, assessment, chemoproteomics"
target-004,target-004,Spatial proteomics for target expression context,2024,1,0.805,false,"expression, target, proteomics"
target-005,target-005,Single-cell atlas links target expression to cell states,2023,1,0.802,false,"expression, target, proteomics"
target-006,target-006,Multi-omic tissue maps for tractable target nomination,2024,1,0.776,false,"expression, target, proteomics"
target-007,target-007,Chemoproteomics for ligandability assessment in target triage,2022,2,0.762,false,"target, assessment, chemoproteomics"
target-008,target-008,Structure enabled hit finding for difficult targets,2021,2,0.741,false,"target, assessment, chemoproteomics"
target-009,target-009,Covalent fragment campaigns in early target validation,2023,2,0.766,false,"target, assessment, chemoproteomics"
target-010,target-010,Human genetics evidence boosts target success probability,2021,3,0.809,false,"evidence, nomination, human"
target-011,target-011,Rare variant burden for mechanism grounded target selection,2024,1,0.748,false,"expression, target, proteomics"
target-012,target-012,Mendelian disease signals guide pathway level target nomination,2022,3,0.814,false,"evidence, nomination, human"
