record_id,title,abstract,year,seed_theme,record_type,text_for_embedding
cancer-immunotherapy-04-0302,Management of immune-related myocarditis: study 302,"This study examines myocarditis through rechallenge strategy, safety monitoring, and immune-related adverse event. It also discusses links to immune contexture and myeloid state, alongside portfolio review and real-world evidence.",2024,Toxicity management,core,"Management of immune-related myocarditis: study 302 [SEP] This study examines myocarditis through rechallenge strategy, safety monitoring, and immune-related adverse event. It also discusses links to immune contexture and myeloid state, alongside portfolio review and real-world evidence."
cancer-immunotherapy-03-0191,Combination immunotherapy strategy in neoantigen vaccination: study 191,"This study examines neoantigen vaccination through adaptive resistance, priming effect, and synergy signal. It also discusses links to response stratification and selection biomarker, alongside molecular profiling and clinical development.",2020,Combination strategy,core,"Combination immunotherapy strategy in neoantigen vaccination: study 191 [SEP] This study examines neoantigen vaccination through adaptive resistance, priming effect, and synergy signal. It also discusses links to response stratification and selection biomarker, alongside molecular profiling and clinical development."
cancer-immunotherapy-04-0318,Management of immune-related myocarditis: study 318,"This study examines myocarditis through rechallenge strategy, immune-related adverse event, and steroid management. It also discusses links to synergy signal and priming effect, alongside validation cohort and dose optimization.",2022,Toxicity management,core,"Management of immune-related myocarditis: study 318 [SEP] This study examines myocarditis through rechallenge strategy, immune-related adverse event, and steroid management. It also discusses links to synergy signal and priming effect, alongside validation cohort and dose optimization."
cancer-immunotherapy-01-0252,Biomarker mapping for T-cell exhaustion: study 252,"This study examines T-cell exhaustion through response stratification, interferon signaling, and selection biomarker. It also discusses links to immune-related adverse event and steroid management, alongside patient stratification and real-world evidence.",2025,Checkpoint biomarkers,core,"Biomarker mapping for T-cell exhaustion: study 252 [SEP] This study examines T-cell exhaustion through response stratification, interferon signaling, and selection biomarker. It also discusses links to immune-related adverse event and steroid management, alongside patient stratification and real-world evidence."
cancer-immunotherapy-r-0006,"Landscape review of PD-L1 scoring, lymphocyte states, and bispecific activation","This review connects interferon signaling, single-cell profiling, adaptive resistance, and immune-related adverse event. It frames the field around portfolio review, mechanism of resistance, early-phase trial, and clinical development.",2021,review-like mixed corpus,review,"Landscape review of PD-L1 scoring, lymphocyte states, and bispecific activation [SEP] This review connects interferon signaling, single-cell profiling, adaptive resistance, and immune-related adverse event. It frames the field around portfolio review, mechanism of resistance, early-phase trial, and clinical development."
cancer-immunotherapy-03-0118,Combination immunotherapy strategy in radiotherapy priming: study 118,"This study examines radiotherapy priming through vaccine strategy, adaptive resistance, and treatment sequence. It also discusses links to immune-related adverse event and steroid management, alongside translational biomarker and molecular profiling.",2025,Combination strategy,core,"Combination immunotherapy strategy in radiotherapy priming: study 118 [SEP] This study examines radiotherapy priming through vaccine strategy, adaptive resistance, and treatment sequence. It also discusses links to immune-related adverse event and steroid management, alongside translational biomarker and molecular profiling."
cancer-immunotherapy-03-0412,Combination immunotherapy strategy in bispecific activation: study 412,"This study examines bispecific activation through treatment sequence, priming effect, and vaccine strategy. It also discusses links to rechallenge strategy and immune-related adverse event, alongside early-phase trial and clinical development.",2025,Combination strategy,core,"Combination immunotherapy strategy in bispecific activation: study 412 [SEP] This study examines bispecific activation through treatment sequence, priming effect, and vaccine strategy. It also discusses links to rechallenge strategy and immune-related adverse event, alongside early-phase trial and clinical development."
cancer-immunotherapy-x-0114,Integrated analysis of macrophage barriers with neoantigen vaccination: study 114,"This paper links tissue architecture and immune contexture to priming effect and vaccine strategy. The framing emphasizes translational biomarker, validation cohort, and early-phase trial across mixed translational contexts.",2025,Microenvironment profiling + Combination strategy,crossover,"Integrated analysis of macrophage barriers with neoantigen vaccination: study 114 [SEP] This paper links tissue architecture and immune contexture to priming effect and vaccine strategy. The framing emphasizes translational biomarker, validation cohort, and early-phase trial across mixed translational contexts."
cancer-immunotherapy-01-0409,Biomarker mapping for PD-1 response: study 409,"This study examines PD-1 response through immune exclusion, interferon signaling, and selection biomarker. It also discusses links to single-cell profiling and myeloid state, alongside early-phase trial and dose optimization.",2020,Checkpoint biomarkers,core,"Biomarker mapping for PD-1 response: study 409 [SEP] This study examines PD-1 response through immune exclusion, interferon signaling, and selection biomarker. It also discusses links to single-cell profiling and myeloid state, alongside early-phase trial and dose optimization."
cancer-immunotherapy-r-0080,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming","This review connects interferon signaling, single-cell profiling, vaccine strategy, and immune-related adverse event. It frames the field around patient stratification, early-phase trial, translational biomarker, and clinical development.",2023,review-like mixed corpus,review,"Landscape review of T-cell exhaustion, immune niches, and radiotherapy priming [SEP] This review connects interferon signaling, single-cell profiling, vaccine strategy, and immune-related adverse event. It frames the field around patient stratification, early-phase trial, translational biomarker, and clinical development."
