record_id,source_id,title,year,cluster,probability,is_noise,theme
local-001,local-001,Methods for causal mediation in translational studies,2022,0,0.899,false,"sensitivity, biomarker, mediation"
local-002,local-002,Sensitivity analysis in biomarker guided trials,2021,0,0.899,false,"sensitivity, biomarker, mediation"
local-003,local-003,Transportability of surrogate endpoints across cohorts,2023,3,0.803,false,"causal, endpoints, surrogate"
local-004,local-004,Survey of adaptive enrichment designs,2023,1,0.859,false,"enrichment, adaptive, survey"
local-005,local-005,Bayesian monitoring for adaptive platform oncology trials,2022,1,0.811,false,"enrichment, adaptive, survey"
local-006,local-006,Sample size planning for biomarker enrichment,2021,1,0.804,false,"enrichment, adaptive, survey"
local-007,local-007,Target trial emulation for oncology registries,2024,2,0.803,false,"oncology, time, emulation"
local-008,local-008,Clone censor weight methods for registry comparisons,2023,2,0.750,false,"oncology, time, emulation"
local-009,local-009,Time zero alignment in emulated oncology trials,2022,2,0.788,false,"oncology, time, emulation"
local-010,local-010,Reporting checklist for causal analyses in registries,2024,3,0.821,false,"causal, endpoints, surrogate"
local-011,local-011,Outcome adjudication in pragmatic oncology cohorts,2021,2,0.755,false,"oncology, time, emulation"
local-012,local-012,Negative control strategies in comparative effectiveness studies,2023,3,0.800,false,"causal, endpoints, surrogate"
