record_id,source_id,title,year,cluster,probability,is_noise,theme
immuno-001,immuno-001,Immune checkpoint biomarkers in solid tumors,2023,0,0.761,false,"pd 1, anti, checkpoint"
immuno-002,immuno-002,T cell exhaustion signatures in melanoma,2022,3,0.764,false,"blockade, immune, management"
immuno-003,immuno-003,Interferon gamma response as a checkpoint response marker,2024,0,0.797,false,"pd 1, anti, checkpoint"
immuno-004,immuno-004,Spatial transcriptomics for tumor microenvironment profiling,2024,1,1.000,false,"spatial, transcriptomics, architecture"
immuno-005,immuno-005,Single-cell atlases of response to anti PD-1 therapy,2023,0,0.800,false,"pd 1, anti, checkpoint"
immuno-006,immuno-006,Multiplex imaging of immune niches under checkpoint blockade,2022,3,0.802,false,"blockade, immune, management"
immuno-007,immuno-007,Neoantigen selection strategies for vaccine design,2021,2,0.856,false,"vaccine, personalized, neoantigen"
immuno-008,immuno-008,Personalized peptide vaccines after tumor sequencing,2020,2,0.833,false,"vaccine, personalized, neoantigen"
immuno-009,immuno-009,Mutational burden and neoepitope quality in vaccine trials,2023,2,0.807,false,"vaccine, personalized, neoantigen"
immuno-010,immuno-010,Case report of rare toxicity under combined blockade,2020,3,0.815,false,"blockade, immune, management"
immuno-011,immuno-011,Steroid management for immune related adverse events,2021,3,0.770,false,"blockade, immune, management"
immuno-012,immuno-012,Pathology workflow for checkpoint induced colitis,2022,0,0.752,false,"pd 1, anti, checkpoint"
