record_id,title,abstract,year
target-001,CRISPR dependency maps reveal kinase vulnerabilities,Large-scale CRISPR dependency mapping identifies kinase vulnerabilities and context specific target hypotheses across tumor models.,2024
target-002,Functional genomics prioritization of synthetic lethal targets,Functional genomics workflow for synthetic lethal target nomination using perturbation screens and genetic interaction evidence.,2023
target-003,Pan-cancer loss of function screens for target discovery,Pan-cancer screen analysis highlighting recurrent loss of function dependencies and tractable target classes.,2022
target-004,Spatial proteomics for target expression context,Spatial proteomics study of target expression context cell neighborhoods and disease relevant compartments.,2024
target-005,Single-cell atlas links target expression to cell states,Single-cell atlas connecting target expression programs to disease cell states and tissue heterogeneity.,2023
target-006,Multi-omic tissue maps for tractable target nomination,Multi-omic tissue map combining transcriptomics proteomics and genetics for tractable target nomination.,2024
target-007,Chemoproteomics for ligandability assessment in target triage,Chemoproteomics article on ligandability target engagement and tractability assessment for target triage.,2022
target-008,Structure enabled hit finding for difficult targets,Structure based screening and hit finding strategy for difficult targets with shallow pockets.,2021
target-009,Covalent fragment campaigns in early target validation,Covalent fragment discovery workflow for early target validation and chemical starting point generation.,2023
target-010,Human genetics evidence boosts target success probability,Analysis of human genetics evidence and its relationship to clinical target success probabilities.,2021
target-011,Rare variant burden for mechanism grounded target selection,Rare variant burden and mechanism anchored target selection strategy in inherited disease cohorts.,2024
target-012,Mendelian disease signals guide pathway level target nomination,Pathway oriented target nomination guided by mendelian disease signals and allelic series evidence.,2022
