record_id,title,abstract,year,seed_theme,record_type,text_for_embedding
breast-cancer-04-0302,Residual disease monitoring in minimal residual disease: study 302,"This study examines minimal residual disease through minimal residual disease, longitudinal surveillance, and response tracking. It also discusses links to endocrine resistance and ER pathway, alongside early-phase trial and portfolio review.",2024,Monitoring and MRD,core,"Residual disease monitoring in minimal residual disease: study 302 [SEP] This study examines minimal residual disease through minimal residual disease, longitudinal surveillance, and response tracking. It also discusses links to endocrine resistance and ER pathway, alongside early-phase trial and portfolio review."
breast-cancer-03-0191,Immunotherapy programs in microenvironment phenotypes: study 191,"This study examines microenvironment phenotypes through TNBC immune context, checkpoint biomarker, and stromal exclusion. It also discusses links to combination treatment and antibody development, alongside patient stratification and mechanism of resistance.",2020,TNBC immunotherapy,core,"Immunotherapy programs in microenvironment phenotypes: study 191 [SEP] This study examines microenvironment phenotypes through TNBC immune context, checkpoint biomarker, and stromal exclusion. It also discusses links to combination treatment and antibody development, alongside patient stratification and mechanism of resistance."
breast-cancer-04-0318,Residual disease monitoring in minimal residual disease: study 318,"This study examines minimal residual disease through longitudinal surveillance, molecular relapse, and liquid biopsy. It also discusses links to PD-L1 selection and checkpoint biomarker, alongside translational biomarker and clinical development.",2022,Monitoring and MRD,core,"Residual disease monitoring in minimal residual disease: study 318 [SEP] This study examines minimal residual disease through longitudinal surveillance, molecular relapse, and liquid biopsy. It also discusses links to PD-L1 selection and checkpoint biomarker, alongside translational biomarker and clinical development."
breast-cancer-01-0252,HER2-focused development in HER2 antibody combinations: study 252,"This study examines HER2 antibody combinations through combination treatment, antibody development, and amplification signal. It also discusses links to molecular relapse and ctDNA monitoring, alongside real-world evidence and molecular profiling.",2025,HER2 biology,core,"HER2-focused development in HER2 antibody combinations: study 252 [SEP] This study examines HER2 antibody combinations through combination treatment, antibody development, and amplification signal. It also discusses links to molecular relapse and ctDNA monitoring, alongside real-world evidence and molecular profiling."
breast-cancer-r-0006,"Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade","This review connects antibody development, CDK4/6 adaptation, stromal exclusion, and molecular relapse. It frames the field around mechanism of resistance, translational biomarker, dose optimization, and validation cohort.",2021,review-like mixed corpus,review,"Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade [SEP] This review connects antibody development, CDK4/6 adaptation, stromal exclusion, and molecular relapse. It frames the field around mechanism of resistance, translational biomarker, dose optimization, and validation cohort."
breast-cancer-03-0118,Immunotherapy programs in PD-L1 stratification: study 118,"This study examines PD-L1 stratification through microenvironment state, combination immunotherapy, and checkpoint biomarker. It also discusses links to minimal residual disease and response tracking, alongside patient stratification and portfolio review.",2025,TNBC immunotherapy,core,"Immunotherapy programs in PD-L1 stratification: study 118 [SEP] This study examines PD-L1 stratification through microenvironment state, combination immunotherapy, and checkpoint biomarker. It also discusses links to minimal residual disease and response tracking, alongside patient stratification and portfolio review."
breast-cancer-03-0412,Immunotherapy programs in combination checkpoint blockade: study 412,"This study examines combination checkpoint blockade through microenvironment state, stromal exclusion, and combination immunotherapy. It also discusses links to liquid biopsy and response tracking, alongside translational biomarker and early-phase trial.",2025,TNBC immunotherapy,core,"Immunotherapy programs in combination checkpoint blockade: study 412 [SEP] This study examines combination checkpoint blockade through microenvironment state, stromal exclusion, and combination immunotherapy. It also discusses links to liquid biopsy and response tracking, alongside translational biomarker and early-phase trial."
breast-cancer-x-0114,Integrated analysis of CDK4/6 adaptation with microenvironment phenotypes: study 114,"This paper links targeted escape and ER pathway to microenvironment state and checkpoint biomarker. The framing emphasizes validation cohort, dose optimization, and real-world evidence across mixed translational contexts.",2025,Endocrine resistance + TNBC immunotherapy,crossover,"Integrated analysis of CDK4/6 adaptation with microenvironment phenotypes: study 114 [SEP] This paper links targeted escape and ER pathway to microenvironment state and checkpoint biomarker. The framing emphasizes validation cohort, dose optimization, and real-world evidence across mixed translational contexts."
breast-cancer-01-0409,HER2-focused development in HER2-low disease: study 409,"This study examines HER2-low disease through brain metastasis, antibody development, and amplification signal. It also discusses links to targeted escape and ESR1 mutation, alongside patient stratification and molecular profiling.",2020,HER2 biology,core,"HER2-focused development in HER2-low disease: study 409 [SEP] This study examines HER2-low disease through brain metastasis, antibody development, and amplification signal. It also discusses links to targeted escape and ESR1 mutation, alongside patient stratification and molecular profiling."
breast-cancer-r-0080,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification","This review connects antibody development, ER pathway, stromal exclusion, and molecular relapse. It frames the field around molecular profiling, portfolio review, real-world evidence, and mechanism of resistance.",2023,review-like mixed corpus,review,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification [SEP] This review connects antibody development, ER pathway, stromal exclusion, and molecular relapse. It frames the field around molecular profiling, portfolio review, real-world evidence, and mechanism of resistance."
