record_id,source_id,title,year,cluster,probability,is_noise,theme
admet-001,admet-001,Microsomal stability workflows for lead optimization,2022,0,0.859,false,"lead, optimization, clearance"
admet-002,admet-002,Hepatocyte intrinsic clearance modeling in discovery,2023,0,0.782,false,"lead, optimization, clearance"
admet-003,admet-003,Transporter liabilities during oral lead optimization,2024,0,0.843,false,"lead, optimization, clearance"
admet-004,admet-004,In vitro hERG triage with patch clamp confirmation,2021,1,0.835,false,"triage, safety, cardiac"
admet-005,admet-005,Integrated QT risk assessment in preclinical programs,2024,2,0.789,false,"screening, risk, metabolite"
admet-006,admet-006,Mechanistic cardiac safety de-risking with ion channel panels,2023,1,0.803,false,"triage, safety, cardiac"
admet-007,admet-007,Reactive metabolite screening in discovery safety,2022,2,0.833,false,"screening, risk, metabolite"
admet-008,admet-008,Mitochondrial toxicity assays for medicinal chemistry support,2023,1,0.817,false,"triage, safety, cardiac"
admet-009,admet-009,Transcriptomic signatures of hepatotoxicity in screening,2024,2,0.811,false,"screening, risk, metabolite"
admet-010,admet-010,Brain penetration design rules for CNS projects,2021,3,0.831,false,"brain, unbound, cns"
admet-011,admet-011,Unbound brain exposure prediction from discovery assays,2022,3,0.822,false,"brain, unbound, cns"
admet-012,admet-012,PKPD translation under high plasma protein binding,2024,3,0.778,false,"brain, unbound, cns"
