record_id,title,abstract,year
admet-001,Microsomal stability workflows for lead optimization,Practical microsomal stability workflow for lead optimization clearance ranking and medicinal chemistry feedback.,2022
admet-002,Hepatocyte intrinsic clearance modeling in discovery,Dmpk study of intrinsic clearance scaling hepatocyte assays and early exposure prediction.,2023
admet-003,Transporter liabilities during oral lead optimization,Article on efflux transporters permeability and oral exposure liabilities during lead optimization.,2024
admet-004,In vitro hERG triage with patch clamp confirmation,Cardiac safety workflow using in vitro hERG triage followed by confirmatory electrophysiology assays.,2021
admet-005,Integrated QT risk assessment in preclinical programs,Integrated QT risk framework combining ion channel data exposure margins and preclinical telemetry.,2024
admet-006,Mechanistic cardiac safety de-risking with ion channel panels,Mechanistic de-risking of cardiac safety through ion channel panels and exposure guided decisions.,2023
admet-007,Reactive metabolite screening in discovery safety,Reactive metabolite screening for early hazard identification bioactivation risk and chemistry prioritization.,2022
admet-008,Mitochondrial toxicity assays for medicinal chemistry support,Discovery safety assays for mitochondrial liability and chemistry triage support.,2023
admet-009,Transcriptomic signatures of hepatotoxicity in screening,Hepatotoxicity screening using transcriptomic signatures stress pathways and mechanistic clustering.,2024
admet-010,Brain penetration design rules for CNS projects,CNS drug discovery article on brain penetration design free fraction and transporter considerations.,2021
admet-011,Unbound brain exposure prediction from discovery assays,Prediction workflow for unbound brain exposure using in vitro assays and scaling heuristics.,2022
admet-012,PKPD translation under high plasma protein binding,Drug metabolism and PKPD translation strategy under high plasma protein binding conditions.,2024
