record_id,title,abstract,year,seed_theme,record_type,text_for_embedding
adc-landscape-04-0302,Clinical safety translation of ocular toxicity: study 302,"This study examines ocular toxicity through safety signal, translation risk, and lung toxicity. It also discusses links to conjugation chemistry and linker stability, alongside dose optimization and portfolio review.",2024,Safety translation,core,"Clinical safety translation of ocular toxicity: study 302 [SEP] This study examines ocular toxicity through safety signal, translation risk, and lung toxicity. It also discusses links to conjugation chemistry and linker stability, alongside dose optimization and portfolio review."
adc-landscape-03-0191,Resistance mechanisms in payload efflux: study 191,"This study examines payload efflux through heterogeneity signal, payload efflux, and resistance biology. It also discusses links to selection rationale and internalization, alongside molecular profiling and translational biomarker.",2020,Resistance and bystander,core,"Resistance mechanisms in payload efflux: study 191 [SEP] This study examines payload efflux through heterogeneity signal, payload efflux, and resistance biology. It also discusses links to selection rationale and internalization, alongside molecular profiling and translational biomarker."
adc-landscape-04-0318,Clinical safety translation of ocular toxicity: study 318,"This study examines ocular toxicity through dose reduction, safety signal, and clinical monitoring. It also discusses links to bystander killing and resistance biology, alongside validation cohort and patient stratification.",2022,Safety translation,core,"Clinical safety translation of ocular toxicity: study 318 [SEP] This study examines ocular toxicity through dose reduction, safety signal, and clinical monitoring. It also discusses links to bystander killing and resistance biology, alongside validation cohort and patient stratification."
adc-landscape-01-0252,Target biology for LIV1 selection: study 252,"This study examines LIV1 selection through internalization, selection rationale, and surface biology. It also discusses links to dose reduction and safety signal, alongside mechanism of resistance and early-phase trial.",2025,Target biology,core,"Target biology for LIV1 selection: study 252 [SEP] This study examines LIV1 selection through internalization, selection rationale, and surface biology. It also discusses links to dose reduction and safety signal, alongside mechanism of resistance and early-phase trial."
adc-landscape-r-0006,"Landscape review of TROP2 programs, cleavable linkers, and lysosomal processing","This review connects selection rationale, bystander payload, bystander killing, and lung toxicity. It frames the field around mechanism of resistance, validation cohort, molecular profiling, and patient stratification.",2021,review-like mixed corpus,review,"Landscape review of TROP2 programs, cleavable linkers, and lysosomal processing [SEP] This review connects selection rationale, bystander payload, bystander killing, and lung toxicity. It frames the field around mechanism of resistance, validation cohort, molecular profiling, and patient stratification."
adc-landscape-03-0118,Resistance mechanisms in bystander effect: study 118,"This study examines bystander effect through heterogeneity signal, processing defect, and payload efflux. It also discusses links to lung toxicity and clinical monitoring, alongside portfolio review and validation cohort.",2025,Resistance and bystander,core,"Resistance mechanisms in bystander effect: study 118 [SEP] This study examines bystander effect through heterogeneity signal, processing defect, and payload efflux. It also discusses links to lung toxicity and clinical monitoring, alongside portfolio review and validation cohort."
adc-landscape-03-0412,Resistance mechanisms in lysosomal processing: study 412,"This study examines lysosomal processing through payload efflux, bystander killing, and lysosomal escape. It also discusses links to lung toxicity and safety signal, alongside molecular profiling and patient stratification.",2025,Resistance and bystander,core,"Resistance mechanisms in lysosomal processing: study 412 [SEP] This study examines lysosomal processing through payload efflux, bystander killing, and lysosomal escape. It also discusses links to lung toxicity and safety signal, alongside molecular profiling and patient stratification."
adc-landscape-x-0114,Integrated analysis of tubulin payloads with payload efflux: study 114,"This paper links linker stability and site-specific linker to payload efflux and bystander killing. The framing emphasizes mechanism of resistance, patient stratification, and validation cohort across mixed translational contexts.",2025,Linker and payload + Resistance and bystander,crossover,"Integrated analysis of tubulin payloads with payload efflux: study 114 [SEP] This paper links linker stability and site-specific linker to payload efflux and bystander killing. The framing emphasizes mechanism of resistance, patient stratification, and validation cohort across mixed translational contexts."
adc-landscape-01-0409,Target biology for HER2 ADCs: study 409,"This study examines HER2 ADCs through internalization, antigen density, and selection rationale. It also discusses links to bystander payload and site-specific linker, alongside clinical development and early-phase trial.",2020,Target biology,core,"Target biology for HER2 ADCs: study 409 [SEP] This study examines HER2 ADCs through internalization, antigen density, and selection rationale. It also discusses links to bystander payload and site-specific linker, alongside clinical development and early-phase trial."
adc-landscape-r-0080,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect","This review connects surface biology, conjugation chemistry, processing defect, and safety signal. It frames the field around real-world evidence, dose optimization, clinical development, and validation cohort.",2023,review-like mixed corpus,review,"Landscape review of LIV1 selection, topoisomerase payloads, and bystander effect [SEP] This review connects surface biology, conjugation chemistry, processing defect, and safety signal. It frames the field around real-world evidence, dose optimization, clinical development, and validation cohort."
adc-landscape-x-0255,Integrated analysis of payload efflux with interstitial lung disease: study 255,"This paper links resistance biology and payload efflux to dose reduction and safety signal. The framing emphasizes dose optimization, early-phase trial, and mechanism of resistance across mixed translational contexts.",2022,Resistance and bystander + Safety translation,crossover,"Integrated analysis of payload efflux with interstitial lung disease: study 255 [SEP] This paper links resistance biology and payload efflux to dose reduction and safety signal. The framing emphasizes dose optimization, early-phase trial, and mechanism of resistance across mixed translational contexts."
adc-landscape-01-0053,Target biology for HER2 ADCs: study 53,"This study examines HER2 ADCs through selection rationale, tumor heterogeneity, and antigen density. It also discusses links to heterogeneity signal and payload efflux, alongside real-world evidence and portfolio review.",2024,Target biology,core,"Target biology for HER2 ADCs: study 53 [SEP] This study examines HER2 ADCs through selection rationale, tumor heterogeneity, and antigen density. It also discusses links to heterogeneity signal and payload efflux, alongside real-world evidence and portfolio review."
adc-landscape-02-0145,Linker-payload optimization for topoisomerase payloads: study 145,"This study examines topoisomerase payloads through conjugation chemistry, payload release, and drug-antibody ratio. It also discusses links to heterogeneity signal and lysosomal escape, alongside clinical development and validation cohort.",2021,Linker and payload,core,"Linker-payload optimization for topoisomerase payloads: study 145 [SEP] This study examines topoisomerase payloads through conjugation chemistry, payload release, and drug-antibody ratio. It also discusses links to heterogeneity signal and lysosomal escape, alongside clinical development and validation cohort."
adc-landscape-04-0264,Clinical safety translation of dose optimization: study 264,"This study examines dose optimization through dose reduction, clinical monitoring, and lung toxicity. It also discusses links to bystander killing and resistance biology, alongside clinical development and molecular profiling.",2022,Safety translation,core,"Clinical safety translation of dose optimization: study 264 [SEP] This study examines dose optimization through dose reduction, clinical monitoring, and lung toxicity. It also discusses links to bystander killing and resistance biology, alongside clinical development and molecular profiling."
adc-landscape-r-0277,"Landscape review of HER2 ADCs, tubulin payloads, and payload efflux","This review connects surface biology, linker stability, lysosomal escape, and dose reduction. It frames the field around molecular profiling, translational biomarker, early-phase trial, and dose optimization.",2022,review-like mixed corpus,review,"Landscape review of HER2 ADCs, tubulin payloads, and payload efflux [SEP] This review connects surface biology, linker stability, lysosomal escape, and dose reduction. It frames the field around molecular profiling, translational biomarker, early-phase trial, and dose optimization."
