record_id,title,abstract,year,seed_theme,record_type,text_for_embedding,original_cluster_id,cluster,probability,cluster_display,cluster_theme,pc1_plot,pc2_plot,pc1_cluster,pc2_cluster,pc3_cluster,pc4_cluster
breast-cancer-04-0302,Residual disease monitoring in minimal residual disease: study 302,"This study examines minimal residual disease through minimal residual disease, longitudinal surveillance, and response tracking. It also discusses links to endocrine resistance and ER pathway, alongside early-phase trial and portfolio review.",2024,Monitoring and MRD,core,"Residual disease monitoring in minimal residual disease: study 302 [SEP] This study examines minimal residual disease through minimal residual disease, longitudinal surveillance, and response tracking. It also discusses links to endocrine resistance and ER pathway, alongside early-phase trial and portfolio review.",18,19,1.0,Cluster 19,Monitoring and MRD,0.3890123498684052,0.010792942299948597,0.3890123498684052,0.010792942299948597,-0.21770924666901162,-0.039319004904793065
breast-cancer-03-0191,Immunotherapy programs in microenvironment phenotypes: study 191,"This study examines microenvironment phenotypes through TNBC immune context, checkpoint biomarker, and stromal exclusion. It also discusses links to combination treatment and antibody development, alongside patient stratification and mechanism of resistance.",2020,TNBC immunotherapy,core,"Immunotherapy programs in microenvironment phenotypes: study 191 [SEP] This study examines microenvironment phenotypes through TNBC immune context, checkpoint biomarker, and stromal exclusion. It also discusses links to combination treatment and antibody development, alongside patient stratification and mechanism of resistance.",10,11,0.9910238353370338,Cluster 11,TNBC immunotherapy,-0.021892613471814464,-0.09904997230922775,-0.021892613471814464,-0.09904997230922775,0.004144407396366879,0.09256831955943065
breast-cancer-04-0318,Residual disease monitoring in minimal residual disease: study 318,"This study examines minimal residual disease through longitudinal surveillance, molecular relapse, and liquid biopsy. It also discusses links to PD-L1 selection and checkpoint biomarker, alongside translational biomarker and clinical development.",2022,Monitoring and MRD,core,"Residual disease monitoring in minimal residual disease: study 318 [SEP] This study examines minimal residual disease through longitudinal surveillance, molecular relapse, and liquid biopsy. It also discusses links to PD-L1 selection and checkpoint biomarker, alongside translational biomarker and clinical development.",18,19,0.9675386199002224,Cluster 19,Monitoring and MRD,0.3925836669096673,-0.028559384680017175,0.3925836669096673,-0.028559384680017175,-0.19636541155740986,-0.08451428406140864
breast-cancer-01-0252,HER2-focused development in HER2 antibody combinations: study 252,"This study examines HER2 antibody combinations through combination treatment, antibody development, and amplification signal. It also discusses links to molecular relapse and ctDNA monitoring, alongside real-world evidence and molecular profiling.",2025,HER2 biology,core,"HER2-focused development in HER2 antibody combinations: study 252 [SEP] This study examines HER2 antibody combinations through combination treatment, antibody development, and amplification signal. It also discusses links to molecular relapse and ctDNA monitoring, alongside real-world evidence and molecular profiling.",8,9,0.9817936499715662,Cluster 9,HER2 biology,-0.04473795763858795,0.39565595497795264,-0.04473795763858795,0.39565595497795264,0.04708174880257289,-0.17238954358623637
breast-cancer-r-0006,"Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade","This review connects antibody development, CDK4/6 adaptation, stromal exclusion, and molecular relapse. It frames the field around mechanism of resistance, translational biomarker, dose optimization, and validation cohort.",2021,review-like mixed corpus,review,"Landscape review of HER2 resistance, PI3K pathway, and combination checkpoint blockade [SEP] This review connects antibody development, CDK4/6 adaptation, stromal exclusion, and molecular relapse. It frames the field around mechanism of resistance, translational biomarker, dose optimization, and validation cohort.",2,3,0.984325074262519,Cluster 3,Review hub: HER2 resistance x PI3K pathway,-0.32335445427113846,-0.09864571469829242,-0.32335445427113846,-0.09864571469829242,-0.17398696528454324,-0.1525786156473557
breast-cancer-03-0118,Immunotherapy programs in PD-L1 stratification: study 118,"This study examines PD-L1 stratification through microenvironment state, combination immunotherapy, and checkpoint biomarker. It also discusses links to minimal residual disease and response tracking, alongside patient stratification and portfolio review.",2025,TNBC immunotherapy,core,"Immunotherapy programs in PD-L1 stratification: study 118 [SEP] This study examines PD-L1 stratification through microenvironment state, combination immunotherapy, and checkpoint biomarker. It also discusses links to minimal residual disease and response tracking, alongside patient stratification and portfolio review.",6,7,0.975688477194312,Cluster 7,TNBC immunotherapy,0.0530508329917229,-0.12000144670713203,0.0530508329917229,-0.12000144670713203,-0.18480329518355157,0.06409101622418079
breast-cancer-03-0412,Immunotherapy programs in combination checkpoint blockade: study 412,"This study examines combination checkpoint blockade through microenvironment state, stromal exclusion, and combination immunotherapy. It also discusses links to liquid biopsy and response tracking, alongside translational biomarker and early-phase trial.",2025,TNBC immunotherapy,core,"Immunotherapy programs in combination checkpoint blockade: study 412 [SEP] This study examines combination checkpoint blockade through microenvironment state, stromal exclusion, and combination immunotherapy. It also discusses links to liquid biopsy and response tracking, alongside translational biomarker and early-phase trial.",4,5,0.9776054239907908,Cluster 5,TNBC immunotherapy,0.016473549401333037,-0.10973152154860547,0.016473549401333037,-0.10973152154860547,-0.1313637625106144,0.08021622673954827
breast-cancer-x-0114,Integrated analysis of CDK4/6 adaptation with microenvironment phenotypes: study 114,"This paper links targeted escape and ER pathway to microenvironment state and checkpoint biomarker. The framing emphasizes validation cohort, dose optimization, and real-world evidence across mixed translational contexts.",2025,Endocrine resistance + TNBC immunotherapy,crossover,"Integrated analysis of CDK4/6 adaptation with microenvironment phenotypes: study 114 [SEP] This paper links targeted escape and ER pathway to microenvironment state and checkpoint biomarker. The framing emphasizes validation cohort, dose optimization, and real-world evidence across mixed translational contexts.",17,18,1.0,Cluster 18,Bridge: Endocrine resistance x TNBC immunotherapy,-0.044648852254159314,-0.26222783814578843,-0.044648852254159314,-0.26222783814578843,0.3373663370756905,0.038431882217023386
breast-cancer-01-0409,HER2-focused development in HER2-low disease: study 409,"This study examines HER2-low disease through brain metastasis, antibody development, and amplification signal. It also discusses links to targeted escape and ESR1 mutation, alongside patient stratification and molecular profiling.",2020,HER2 biology,core,"HER2-focused development in HER2-low disease: study 409 [SEP] This study examines HER2-low disease through brain metastasis, antibody development, and amplification signal. It also discusses links to targeted escape and ESR1 mutation, alongside patient stratification and molecular profiling.",9,10,1.0,Cluster 10,HER2 biology,-0.05638833901239315,0.3528049011323907,-0.05638833901239315,0.3528049011323907,0.1230951695024446,-0.100621837007338
breast-cancer-r-0080,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification","This review connects antibody development, ER pathway, stromal exclusion, and molecular relapse. It frames the field around molecular profiling, portfolio review, real-world evidence, and mechanism of resistance.",2023,review-like mixed corpus,review,"Landscape review of HER2 antibody combinations, ESR1 mutations, and PD-L1 stratification [SEP] This review connects antibody development, ER pathway, stromal exclusion, and molecular relapse. It frames the field around molecular profiling, portfolio review, real-world evidence, and mechanism of resistance.",3,4,1.0,Cluster 4,Review hub: HER2 antibody combinations x ESR1 mutations,-0.336378735957391,-0.038746153930075036,-0.336378735957391,-0.038746153930075036,-0.1476397333502044,-0.21998004181014708
