record_id,title,abstract,year,seed_theme,record_type,text_for_embedding,original_cluster_id,cluster,probability,cluster_display,cluster_theme,pc1_plot,pc2_plot,pc1_cluster,pc2_cluster,pc3_cluster,pc4_cluster
protac-landscape-04-0302,Exposure translation for brain-penetrant degraders: study 302,"This study examines brain-penetrant degraders through development path, dose projection, and PK translation. It also discusses links to selective degradation and recruiter choice, alongside translational biomarker and validation cohort.",2024,PK and translation,core,"Exposure translation for brain-penetrant degraders: study 302 [SEP] This study examines brain-penetrant degraders through development path, dose projection, and PK translation. It also discusses links to selective degradation and recruiter choice, alongside translational biomarker and validation cohort.",7,8,0.9662749970865766,Cluster 8,PK and translation,-0.3117049538232233,-0.01887823664949071,-0.3117049538232233,-0.01887823664949071,-0.12189187144510681,-0.13131836081140413
protac-landscape-03-0191,Ternary complex modeling for residence time: study 191,"This study examines residence time through binding geometry, kinetic reasoning, and structural model. It also discusses links to degrader optimization and linker chemistry, alongside patient stratification and real-world evidence.",2020,Ternary complex,core,"Ternary complex modeling for residence time: study 191 [SEP] This study examines residence time through binding geometry, kinetic reasoning, and structural model. It also discusses links to degrader optimization and linker chemistry, alongside patient stratification and real-world evidence.",17,18,0.9719217921177898,Cluster 18,Ternary complex,-0.041761629792759096,-0.03204501052733685,-0.041761629792759096,-0.03204501052733685,-0.043214523631004545,0.3379909882487519
protac-landscape-04-0318,Exposure translation for brain-penetrant degraders: study 318,"This study examines brain-penetrant degraders through development path, distribution challenge, and brain penetration. It also discusses links to selectivity logic and cooperativity, alongside clinical development and patient stratification.",2022,PK and translation,core,"Exposure translation for brain-penetrant degraders: study 318 [SEP] This study examines brain-penetrant degraders through development path, distribution challenge, and brain penetration. It also discusses links to selectivity logic and cooperativity, alongside clinical development and patient stratification.",7,8,1.0,Cluster 8,PK and translation,-0.30439585394049795,-0.0358406313657042,-0.30439585394049795,-0.0358406313657042,-0.17095473793432858,-0.07977959060713306
protac-landscape-01-0252,Degrader design for nuclear receptors: study 252,"This study examines nuclear receptors through warhead design, chemical series, and permeability challenge. It also discusses links to dose projection and distribution challenge, alongside real-world evidence and mechanism of resistance.",2025,Degrader chemistry,core,"Degrader design for nuclear receptors: study 252 [SEP] This study examines nuclear receptors through warhead design, chemical series, and permeability challenge. It also discusses links to dose projection and distribution challenge, alongside real-world evidence and mechanism of resistance.",4,5,0.9630809919588389,Cluster 5,Degrader chemistry,-0.04546994501810629,-0.042157127405095765,-0.04546994501810629,-0.042157127405095765,-0.13200929419248983,-0.16511884352295939
protac-landscape-r-0006,"Landscape review of transcription factors, DCAF strategies, and degradation selectivity","This review connects chemical series, tissue dependence, selectivity logic, and dose projection. It frames the field around validation cohort, mechanism of resistance, molecular profiling, and dose optimization.",2021,review-like mixed corpus,review,"Landscape review of transcription factors, DCAF strategies, and degradation selectivity [SEP] This review connects chemical series, tissue dependence, selectivity logic, and dose projection. It frames the field around validation cohort, mechanism of resistance, molecular profiling, and dose optimization.",5,6,1.0,Cluster 6,Review hub: transcription factors x DCAF strategies,0.34861142165959563,0.013065532316013442,0.34861142165959563,0.013065532316013442,-0.20731929668956475,-0.08593710113992571
protac-landscape-03-0118,Ternary complex modeling for structural dynamics: study 118,"This study examines structural dynamics through ternary complex, cooperativity, and selectivity logic. It also discusses links to dose projection and distribution challenge, alongside dose optimization and real-world evidence.",2025,Ternary complex,core,"Ternary complex modeling for structural dynamics: study 118 [SEP] This study examines structural dynamics through ternary complex, cooperativity, and selectivity logic. It also discusses links to dose projection and distribution challenge, alongside dose optimization and real-world evidence.",10,11,1.0,Cluster 11,Ternary complex,-0.07120011547248303,-0.1391075416926189,-0.07120011547248303,-0.1391075416926189,-0.15494892139469407,0.31884036798032866
protac-landscape-03-0412,Ternary complex modeling for degradation selectivity: study 412,"This study examines degradation selectivity through ternary complex, cooperativity, and binding geometry. It also discusses links to PK translation and oral exposure, alongside clinical development and mechanism of resistance.",2025,Ternary complex,core,"Ternary complex modeling for degradation selectivity: study 412 [SEP] This study examines degradation selectivity through ternary complex, cooperativity, and binding geometry. It also discusses links to PK translation and oral exposure, alongside clinical development and mechanism of resistance.",12,13,0.9644350785310978,Cluster 13,Ternary complex,-0.11404653322519256,-0.16983706115439873,-0.11404653322519256,-0.16983706115439873,-0.1260997211489291,0.3092976886548292
protac-landscape-x-0114,Integrated analysis of VHL recruiters with residence time: study 114,"This paper links ligase biology and selective degradation to kinetic reasoning and structural model. The framing emphasizes clinical development, portfolio review, and translational biomarker across mixed translational contexts.",2025,Ligase biology + Ternary complex,crossover,"Integrated analysis of VHL recruiters with residence time: study 114 [SEP] This paper links ligase biology and selective degradation to kinetic reasoning and structural model. The framing emphasizes clinical development, portfolio review, and translational biomarker across mixed translational contexts.",21,22,1.0,Cluster 22,Bridge: Ligase biology x Ternary complex,0.03235006695122904,0.32005141588060854,0.03235006695122904,0.32005141588060854,0.2414024355324125,0.20518000968598027
protac-landscape-01-0409,Degrader design for kinase targets: study 409,"This study examines kinase targets through structure-activity relationship, permeability challenge, and chemical series. It also discusses links to ligase expression and cell context, alongside validation cohort and mechanism of resistance.",2020,Degrader chemistry,core,"Degrader design for kinase targets: study 409 [SEP] This study examines kinase targets through structure-activity relationship, permeability challenge, and chemical series. It also discusses links to ligase expression and cell context, alongside validation cohort and mechanism of resistance.",9,10,1.0,Cluster 10,Degrader chemistry,0.006884565085835969,-0.0442358045474119,0.006884565085835969,-0.0442358045474119,0.049813605171404214,-0.14268360872581767
protac-landscape-r-0080,"Landscape review of nuclear receptors, CRBN programs, and structural dynamics","This review connects chemical series, selective degradation, binding geometry, and development path. It frames the field around real-world evidence, mechanism of resistance, molecular profiling, and early-phase trial.",2023,review-like mixed corpus,review,"Landscape review of nuclear receptors, CRBN programs, and structural dynamics [SEP] This review connects chemical series, selective degradation, binding geometry, and development path. It frames the field around real-world evidence, mechanism of resistance, molecular profiling, and early-phase trial.",1,2,0.985032740853057,Cluster 2,Review hub: nuclear receptors x CRBN programs,0.37356590063914263,0.050446519765257845,0.37356590063914263,0.050446519765257845,-0.19169772796005358,-0.04132030057552389
