record_id,title,abstract,year,seed_theme,record_type,text_for_embedding
lung-cancer-04-0302,Molecular monitoring for minimal residual disease: study 302,"This study examines minimal residual disease through ctDNA surveillance, molecular monitoring, and longitudinal sampling. It also discusses links to KRAS inhibitor and combination rationale, alongside translational biomarker and patient stratification.",2024,ctDNA and monitoring,core,"Molecular monitoring for minimal residual disease: study 302 [SEP] This study examines minimal residual disease through ctDNA surveillance, molecular monitoring, and longitudinal sampling. It also discusses links to KRAS inhibitor and combination rationale, alongside translational biomarker and patient stratification."
lung-cancer-03-0191,Biomarker selection in STK11 co-mutation: study 191,"This study examines STK11 co-mutation through immune exclusion, co-mutation effect, and tumor mutational burden. It also discusses links to line-of-therapy shift and CNS metastasis, alongside mechanism of resistance and molecular profiling.",2020,Immunotherapy biomarkers,core,"Biomarker selection in STK11 co-mutation: study 191 [SEP] This study examines STK11 co-mutation through immune exclusion, co-mutation effect, and tumor mutational burden. It also discusses links to line-of-therapy shift and CNS metastasis, alongside mechanism of resistance and molecular profiling."
lung-cancer-04-0318,Molecular monitoring for minimal residual disease: study 318,"This study examines minimal residual disease through residual disease, longitudinal sampling, and plasma genotyping. It also discusses links to checkpoint response and selection logic, alongside dose optimization and translational biomarker.",2022,ctDNA and monitoring,core,"Molecular monitoring for minimal residual disease: study 318 [SEP] This study examines minimal residual disease through residual disease, longitudinal sampling, and plasma genotyping. It also discusses links to checkpoint response and selection logic, alongside dose optimization and translational biomarker."
lung-cancer-01-0252,Resistance evolution in CNS progression: study 252,"This study examines CNS progression through targeted escape, CNS metastasis, and ALK progression. It also discusses links to longitudinal sampling and ctDNA surveillance, alongside patient stratification and real-world evidence.",2025,EGFR and ALK resistance,core,"Resistance evolution in CNS progression: study 252 [SEP] This study examines CNS progression through targeted escape, CNS metastasis, and ALK progression. It also discusses links to longitudinal sampling and ctDNA surveillance, alongside patient stratification and real-world evidence."
lung-cancer-r-0006,"Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion","This review connects ALK progression, feedback signaling, immune exclusion, and molecular monitoring. It frames the field around early-phase trial, translational biomarker, mechanism of resistance, and portfolio review.",2021,review-like mixed corpus,review,"Landscape review of ALK-positive tumors, SHP2 combinations, and immune exclusion [SEP] This review connects ALK progression, feedback signaling, immune exclusion, and molecular monitoring. It frames the field around early-phase trial, translational biomarker, mechanism of resistance, and portfolio review."
lung-cancer-03-0118,Biomarker selection in tumor mutational burden: study 118,"This study examines tumor mutational burden through PD-L1 biomarker, immune exclusion, and selection logic. It also discusses links to residual disease and liquid biopsy, alongside patient stratification and validation cohort.",2025,Immunotherapy biomarkers,core,"Biomarker selection in tumor mutational burden: study 118 [SEP] This study examines tumor mutational burden through PD-L1 biomarker, immune exclusion, and selection logic. It also discusses links to residual disease and liquid biopsy, alongside patient stratification and validation cohort."
lung-cancer-03-0412,Biomarker selection in immune exclusion: study 412,"This study examines immune exclusion through PD-L1 biomarker, selection logic, and checkpoint response. It also discusses links to molecular monitoring and ctDNA surveillance, alongside real-world evidence and molecular profiling.",2025,Immunotherapy biomarkers,core,"Biomarker selection in immune exclusion: study 412 [SEP] This study examines immune exclusion through PD-L1 biomarker, selection logic, and checkpoint response. It also discusses links to molecular monitoring and ctDNA surveillance, alongside real-world evidence and molecular profiling."
lung-cancer-x-0114,Integrated analysis of adaptive signaling with STK11 co-mutation: study 114,"This paper links development strategy and adaptive pathway to co-mutation effect and tumor mutational burden. The framing emphasizes patient stratification, validation cohort, and real-world evidence across mixed translational contexts.",2025,KRAS development + Immunotherapy biomarkers,crossover,"Integrated analysis of adaptive signaling with STK11 co-mutation: study 114 [SEP] This paper links development strategy and adaptive pathway to co-mutation effect and tumor mutational burden. The framing emphasizes patient stratification, validation cohort, and real-world evidence across mixed translational contexts."
lung-cancer-01-0409,Resistance evolution in EGFR-mutant disease: study 409,"This study examines EGFR-mutant disease through acquired resistance, line-of-therapy shift, and targeted escape. It also discusses links to SHP2 biology and adaptive pathway, alongside translational biomarker and portfolio review.",2020,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 409 [SEP] This study examines EGFR-mutant disease through acquired resistance, line-of-therapy shift, and targeted escape. It also discusses links to SHP2 biology and adaptive pathway, alongside translational biomarker and portfolio review."
lung-cancer-r-0080,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden","This review connects targeted escape, KRAS inhibitor, co-mutation effect, and ctDNA surveillance. It frames the field around mechanism of resistance, validation cohort, molecular profiling, and early-phase trial.",2023,review-like mixed corpus,review,"Landscape review of CNS progression, KRAS G12C inhibition, and tumor mutational burden [SEP] This review connects targeted escape, KRAS inhibitor, co-mutation effect, and ctDNA surveillance. It frames the field around mechanism of resistance, validation cohort, molecular profiling, and early-phase trial."
lung-cancer-x-0255,Integrated analysis of STK11 co-mutation with ctDNA resistance tracking: study 255,"This paper links selection logic and tumor mutational burden to plasma genotyping and liquid biopsy. The framing emphasizes patient stratification, validation cohort, and portfolio review across mixed translational contexts.",2022,Immunotherapy biomarkers + ctDNA and monitoring,crossover,"Integrated analysis of STK11 co-mutation with ctDNA resistance tracking: study 255 [SEP] This paper links selection logic and tumor mutational burden to plasma genotyping and liquid biopsy. The framing emphasizes patient stratification, validation cohort, and portfolio review across mixed translational contexts."
lung-cancer-01-0053,Resistance evolution in EGFR-mutant disease: study 53,"This study examines EGFR-mutant disease through ALK progression, targeted escape, and acquired resistance. It also discusses links to tumor mutational burden and immune exclusion, alongside real-world evidence and portfolio review.",2024,EGFR and ALK resistance,core,"Resistance evolution in EGFR-mutant disease: study 53 [SEP] This study examines EGFR-mutant disease through ALK progression, targeted escape, and acquired resistance. It also discusses links to tumor mutational burden and immune exclusion, alongside real-world evidence and portfolio review."
lung-cancer-02-0145,KRAS pathway development in KRAS G12C inhibition: study 145,"This study examines KRAS G12C inhibition through feedback signaling, SHP2 biology, and development strategy. It also discusses links to tumor mutational burden and selection logic, alongside mechanism of resistance and real-world evidence.",2021,KRAS development,core,"KRAS pathway development in KRAS G12C inhibition: study 145 [SEP] This study examines KRAS G12C inhibition through feedback signaling, SHP2 biology, and development strategy. It also discusses links to tumor mutational burden and selection logic, alongside mechanism of resistance and real-world evidence."
lung-cancer-04-0264,Molecular monitoring for longitudinal plasma genotyping: study 264,"This study examines longitudinal plasma genotyping through residual disease, ctDNA surveillance, and liquid biopsy. It also discusses links to PD-L1 biomarker and checkpoint response, alongside real-world evidence and dose optimization.",2022,ctDNA and monitoring,core,"Molecular monitoring for longitudinal plasma genotyping: study 264 [SEP] This study examines longitudinal plasma genotyping through residual disease, ctDNA surveillance, and liquid biopsy. It also discusses links to PD-L1 biomarker and checkpoint response, alongside real-world evidence and dose optimization."
lung-cancer-r-0277,"Landscape review of EGFR-mutant disease, adaptive signaling, and STK11 co-mutation","This review connects acquired resistance, development strategy, co-mutation effect, and residual disease. It frames the field around portfolio review, translational biomarker, dose optimization, and real-world evidence.",2022,review-like mixed corpus,review,"Landscape review of EGFR-mutant disease, adaptive signaling, and STK11 co-mutation [SEP] This review connects acquired resistance, development strategy, co-mutation effect, and residual disease. It frames the field around portfolio review, translational biomarker, dose optimization, and real-world evidence."
lung-cancer-02-0401,KRAS pathway development in KRAS G12C inhibition: study 401,"This study examines KRAS G12C inhibition through SHP2 biology, KRAS inhibitor, and adaptive pathway. It also discusses links to residual disease and longitudinal sampling, alongside dose optimization and validation cohort.",2025,KRAS development,core,"KRAS pathway development in KRAS G12C inhibition: study 401 [SEP] This study examines KRAS G12C inhibition through SHP2 biology, KRAS inhibitor, and adaptive pathway. It also discusses links to residual disease and longitudinal sampling, alongside dose optimization and validation cohort."
lung-cancer-03-0074,Biomarker selection in tumor mutational burden: study 74,"This study examines tumor mutational burden through checkpoint response, selection logic, and tumor mutational burden. It also discusses links to EGFR resistance and targeted escape, alongside translational biomarker and early-phase trial.",2023,Immunotherapy biomarkers,core,"Biomarker selection in tumor mutational burden: study 74 [SEP] This study examines tumor mutational burden through checkpoint response, selection logic, and tumor mutational burden. It also discusses links to EGFR resistance and targeted escape, alongside translational biomarker and early-phase trial."
