record_id,title,abstract,year,seed_theme,record_type,text_for_embedding
protac-landscape-04-0302,Exposure translation for brain-penetrant degraders: study 302,"This study examines brain-penetrant degraders through development path, dose projection, and PK translation. It also discusses links to selective degradation and recruiter choice, alongside translational biomarker and validation cohort.",2024,PK and translation,core,"Exposure translation for brain-penetrant degraders: study 302 [SEP] This study examines brain-penetrant degraders through development path, dose projection, and PK translation. It also discusses links to selective degradation and recruiter choice, alongside translational biomarker and validation cohort."
protac-landscape-03-0191,Ternary complex modeling for residence time: study 191,"This study examines residence time through binding geometry, kinetic reasoning, and structural model. It also discusses links to degrader optimization and linker chemistry, alongside patient stratification and real-world evidence.",2020,Ternary complex,core,"Ternary complex modeling for residence time: study 191 [SEP] This study examines residence time through binding geometry, kinetic reasoning, and structural model. It also discusses links to degrader optimization and linker chemistry, alongside patient stratification and real-world evidence."
protac-landscape-04-0318,Exposure translation for brain-penetrant degraders: study 318,"This study examines brain-penetrant degraders through development path, distribution challenge, and brain penetration. It also discusses links to selectivity logic and cooperativity, alongside clinical development and patient stratification.",2022,PK and translation,core,"Exposure translation for brain-penetrant degraders: study 318 [SEP] This study examines brain-penetrant degraders through development path, distribution challenge, and brain penetration. It also discusses links to selectivity logic and cooperativity, alongside clinical development and patient stratification."
protac-landscape-01-0252,Degrader design for nuclear receptors: study 252,"This study examines nuclear receptors through warhead design, chemical series, and permeability challenge. It also discusses links to dose projection and distribution challenge, alongside real-world evidence and mechanism of resistance.",2025,Degrader chemistry,core,"Degrader design for nuclear receptors: study 252 [SEP] This study examines nuclear receptors through warhead design, chemical series, and permeability challenge. It also discusses links to dose projection and distribution challenge, alongside real-world evidence and mechanism of resistance."
protac-landscape-r-0006,"Landscape review of transcription factors, DCAF strategies, and degradation selectivity","This review connects chemical series, tissue dependence, selectivity logic, and dose projection. It frames the field around validation cohort, mechanism of resistance, molecular profiling, and dose optimization.",2021,review-like mixed corpus,review,"Landscape review of transcription factors, DCAF strategies, and degradation selectivity [SEP] This review connects chemical series, tissue dependence, selectivity logic, and dose projection. It frames the field around validation cohort, mechanism of resistance, molecular profiling, and dose optimization."
protac-landscape-03-0118,Ternary complex modeling for structural dynamics: study 118,"This study examines structural dynamics through ternary complex, cooperativity, and selectivity logic. It also discusses links to dose projection and distribution challenge, alongside dose optimization and real-world evidence.",2025,Ternary complex,core,"Ternary complex modeling for structural dynamics: study 118 [SEP] This study examines structural dynamics through ternary complex, cooperativity, and selectivity logic. It also discusses links to dose projection and distribution challenge, alongside dose optimization and real-world evidence."
protac-landscape-03-0412,Ternary complex modeling for degradation selectivity: study 412,"This study examines degradation selectivity through ternary complex, cooperativity, and binding geometry. It also discusses links to PK translation and oral exposure, alongside clinical development and mechanism of resistance.",2025,Ternary complex,core,"Ternary complex modeling for degradation selectivity: study 412 [SEP] This study examines degradation selectivity through ternary complex, cooperativity, and binding geometry. It also discusses links to PK translation and oral exposure, alongside clinical development and mechanism of resistance."
protac-landscape-x-0114,Integrated analysis of VHL recruiters with residence time: study 114,"This paper links ligase biology and selective degradation to kinetic reasoning and structural model. The framing emphasizes clinical development, portfolio review, and translational biomarker across mixed translational contexts.",2025,Ligase biology + Ternary complex,crossover,"Integrated analysis of VHL recruiters with residence time: study 114 [SEP] This paper links ligase biology and selective degradation to kinetic reasoning and structural model. The framing emphasizes clinical development, portfolio review, and translational biomarker across mixed translational contexts."
protac-landscape-01-0409,Degrader design for kinase targets: study 409,"This study examines kinase targets through structure-activity relationship, permeability challenge, and chemical series. It also discusses links to ligase expression and cell context, alongside validation cohort and mechanism of resistance.",2020,Degrader chemistry,core,"Degrader design for kinase targets: study 409 [SEP] This study examines kinase targets through structure-activity relationship, permeability challenge, and chemical series. It also discusses links to ligase expression and cell context, alongside validation cohort and mechanism of resistance."
protac-landscape-r-0080,"Landscape review of nuclear receptors, CRBN programs, and structural dynamics","This review connects chemical series, selective degradation, binding geometry, and development path. It frames the field around real-world evidence, mechanism of resistance, molecular profiling, and early-phase trial.",2023,review-like mixed corpus,review,"Landscape review of nuclear receptors, CRBN programs, and structural dynamics [SEP] This review connects chemical series, selective degradation, binding geometry, and development path. It frames the field around real-world evidence, mechanism of resistance, molecular profiling, and early-phase trial."
